/opt/conda/envs/pytorch/lib/python3.9/site-packages/ipykernel_launcher.py -f /home/ubuntu/.local/share/jupyter/runtime/kernel-785b3938-809c-4204-86b3-5312923e8854.json
{"epoch": 0, "step": 0, "lr_weights": 0.0, "lr_biases": 0.0, "loss": 501.8089599609375, "time": 0}
{"epoch": 1, "step": 25, "lr_weights": 0.025, "lr_biases": 0.0006, "loss": 501.8087158203125, "time": 9}
{"epoch": 2, "step": 50, "lr_weights": 0.05, "lr_biases": 0.0012, "loss": 501.80889892578125, "time": 19}
{"epoch": 3, "step": 75, "lr_weights": 0.07500000000000001, "lr_biases": 0.0018, "loss": 501.8092041015625, "time": 29}
{"epoch": 5, "step": 100, "lr_weights": 0.1, "lr_biases": 0.0024, "loss": 501.8094482421875, "time": 39}
{"epoch": 6, "step": 125, "lr_weights": 0.125, "lr_biases": 0.0029999999999999996, "loss": 501.8071594238281, "time": 49}
{"epoch": 7, "step": 150, "lr_weights": 0.15000000000000002, "lr_biases": 0.0036, "loss": 501.24493408203125, "time": 58}
{"epoch": 8, "step": 175, "lr_weights": 0.17500000000000002, "lr_biases": 0.0042, "loss": 500.16143798828125, "time": 68}
{"epoch": 10, "step": 200, "lr_weights": 0.2, "lr_biases": 0.0048, "loss": 498.3746032714844, "time": 78}
{"epoch": 11, "step": 225, "lr_weights": 0.19999921406920623, "lr_biases": 0.004799981137660949, "loss": 496.0600280761719, "time": 88}
{"epoch": 12, "step": 250, "lr_weights": 0.19999685628919098, "lr_biases": 0.004799924550940583, "loss": 492.67474365234375, "time": 98}
{"epoch": 13, "step": 275, "lr_weights": 0.1999929266970524, "lr_biases": 0.004799830240729257, "loss": 485.688232421875, "time": 107}
{"epoch": 15, "step": 300, "lr_weights": 0.19998742535462014, "lr_biases": 0.004799698208510883, "loss": 476.54718017578125, "time": 118}
{"epoch": 16, "step": 325, "lr_weights": 0.19998035234845413, "lr_biases": 0.004799528456362899, "loss": 464.38421630859375, "time": 128}
{"epoch": 17, "step": 350, "lr_weights": 0.1999717077898436, "lr_biases": 0.004799320986956246, "loss": 445.6946105957031, "time": 138}
{"epoch": 18, "step": 375, "lr_weights": 0.19996149181480505, "lr_biases": 0.004799075803555321, "loss": 424.4434814453125, "time": 148}
{"epoch": 20, "step": 400, "lr_weights": 0.1999497045840802, "lr_biases": 0.004798792910017924, "loss": 404.8222351074219, "time": 158}
{"epoch": 21, "step": 425, "lr_weights": 0.1999363462831335, "lr_biases": 0.004798472310795203, "loss": 385.49603271484375, "time": 168}
{"epoch": 22, "step": 450, "lr_weights": 0.19992141712214906, "lr_biases": 0.004798114010931577, "loss": 367.7374267578125, "time": 178}
{"epoch": 23, "step": 475, "lr_weights": 0.1999049173360276, "lr_biases": 0.004797718016064662, "loss": 351.6273498535156, "time": 188}
{"epoch": 25, "step": 500, "lr_weights": 0.19988684718438252, "lr_biases": 0.004797284332425179, "loss": 342.4767761230469, "time": 199}
{"epoch": 26, "step": 525, "lr_weights": 0.19986720695153587, "lr_biases": 0.00479681296683686, "loss": 330.6130065917969, "time": 209}
